Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,BATTERY_mean,BATTERY_std
1_(16),Complex Mathematical Problem solving (CMPS),Segment_1,T7,-0.6025325913209797,-0.14878647213118304,-1.551257282712042,2.003797800122195,-0.6831691458510029,0.4546697378639243,-0.156917667870409,1.8352240954968504,0.3474298514896086,1.4634768224870691,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_1,Pz,0.8043376542415949,-0.750693331308185,-0.7189775972619645,1.1210993717023945,-2.24462373591195,-0.9580087362193986,0.06359161768757257,0.7343446503032406,0.13841221461837616,-0.24836494469583742,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_1,T8,0.7229174515770713,-0.7199783279666424,-0.7697130825029374,1.1698048367057279,-2.1470467298009805,-0.8821699804793498,0.044906983232048545,0.8160041153524423,0.1583137529357752,-0.10284780757128086,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_1,AF4,0.7437988664149602,-0.7068229054221451,-0.7490670600036825,1.1682150571367549,-2.2119779137173268,-0.8741579492283301,0.09266080410157382,0.6948873721778079,0.0867875804911753,-0.4133375229525796,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_2,AF3,0.8339683583433858,-0.6946824972826854,-1.1340475317703287,1.7709022713583709,-0.7223734656601839,0.19122950843318576,0.07724400618697044,0.4645687355932032,0.364580307545075,-1.155784779663576,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_2,T7,0.2945037563412815,-0.6195873538181138,-1.5004207788396888,2.031057936891435,0.18727924472086543,0.5493619422980008,-0.3265077587962309,1.6279816753607061,0.9853219097958432,1.5640224511632845,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_2,Pz,1.4657607801479287,-1.081516296369782,-0.7927153706985265,1.3322952933659304,-1.1930543328421086,-0.5700890701016601,-0.09141618537994733,0.5454964592279231,0.6820653698602929,-0.33943773467628047,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_2,T8,1.561421370933474,-1.146238126294763,-0.7464815516150592,1.2526546870053024,-1.251595583753929,-0.6994359031899606,-0.10779805526475213,0.5716926869778718,0.7386034225736312,-0.17106287172776405,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_2,AF4,1.3309705456480803,-1.000828340277468,-0.8672893597140734,1.4272988339180506,-1.0886734333741843,-0.4066296899212291,-0.056901029900120866,0.5354804022616254,0.6143204773415224,-0.49656489667862486,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_3,AF3,2.0522177263891623,-1.3308843284258518,-0.7665445193272066,1.4522835090592316,-0.8644578070643198,-0.5631393510757512,0.029982209214491806,0.6556432240916708,0.7705893689098249,-0.5749719740439235,1.0000000000000002e-06,2.117582368135752e-22
1_(16),Complex Mathematical Problem solving (CMPS),Segment_3,T7,0.6988948318800072,-0.7738694349914693,-1.575727851774809,2.282932235659357,0.6823703510759082,0.765358684407566,-0.21241419250384025,1.808790013782122,1.0421011645075453,1.340306097098427,1.0000000000000002e-06,2.117582368135752e-22
