Participant,Scenario,Segment,Channel,Brain_PC1,Brain_PC2,Brain_PC3,Brain_PC4,Brain_PC5,Brain_PC6,Brain_PC7,Brain_PC8,Brain_PC9,Brain_PC10,Brain_PC11,Brain_PC12,Brain_PC13,Brain_PC14,Brain_PC15,Brain_PC16,Brain_PC17,Brain_PC18,Brain_PC19,Brain_PC20,BATTERY_mean,BATTERY_std
3_(20),Trier Mental Challenge Test (TMCT),Segment_3,T7,-2.313939815459132,4.018391666509274,1.323974946101276,-1.521351839597527,-0.25212148339146045,-0.7717917161734064,0.07132348414598241,-0.5090920347703514,0.8351843217917168,0.12162585606508655,-0.07299480998944818,-0.04936553301187159,0.17502457649643455,-0.2274767010443997,0.024558620352521456,0.15084982266095018,-0.1282364234907295,-0.6133904162155271,0.25532385269964275,-0.24388462136228325,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_3,Pz,-2.291448751106328,4.015867270402105,1.3427120592082114,-1.5296583590891368,-0.28982008132253495,-0.7835846522107363,0.07960697453841184,-0.5537935726033482,0.8223697369929475,0.023882768882372455,-0.0025920358633436625,-0.08904174194697768,0.17038544648980036,-0.19785186551786654,0.028249229916916387,0.12465531062567463,-0.07405280597659222,-0.3260347550962496,0.2165667604443573,-0.2084056301102176,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_3,T8,-2.448597676503848,4.055268505296372,1.2344326592506853,-1.4445522635438135,-0.06379239556542336,-0.6602743674081443,0.011791407918367107,-0.30751280884016774,0.908232620574335,0.5408297497779329,-0.3494485543821464,0.06075671376698909,0.19130222910587158,-0.31505535696146386,0.03801030680369912,0.16154943976239036,-0.1433208293516779,-0.7368667192477533,0.30029826030926343,-0.30873982074986595,1.0000000000000002e-06,2.117582368135752e-22
3_(20),Trier Mental Challenge Test (TMCT),Segment_3,AF4,-2.65675743518541,4.248275608272687,1.1499294391828163,-1.2576412213558896,-0.03114137053790577,-0.31543809843049286,0.18399874274785968,-0.6343932689179302,0.6138093914071291,-0.5447135276926173,0.39669149523732467,-0.2520787944743258,0.127961606001869,-0.10129947519738007,0.054291347225798224,0.10836917448493748,-0.024442143513874855,-0.1385474963165678,0.10335734670066854,-0.26791550842867284,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_1,AF3,-0.16977267572786678,-0.34443124441657924,-1.0522337060785316,0.7027282810972958,-2.642013542245015,-0.31022403062319376,-0.4318758723100877,-0.21705194778616935,-0.48989977473836527,-0.2934130807181317,0.480139310058456,0.18267187604640026,-0.494565102464432,0.35191017910339,-0.008852716918664365,0.747361973835429,0.09890010117003627,-0.0488012281816733,-0.41167981920170793,0.2641392654119848,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_1,T7,-2.761030058124815,0.9552898491378053,-2.5283674387503194,2.3792407996174805,-0.16641406305636655,2.448603226883456,-0.43898185134956214,0.8956106834179852,-0.7640292518290207,0.3146284377311447,0.12390148898349479,0.3325958555203378,-0.43991320511624665,0.1464420481151688,0.13671902851093465,0.6381328046226654,0.06895252248357762,-0.1974009691707402,-0.3101746974260023,0.23986367714701834,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_1,Pz,0.2575360073861973,-0.6065892679543544,-0.8230209652993579,0.39716415753346906,-2.96322686174684,-0.8386162625062189,-0.5422079888761415,-0.16314037069415196,-0.2786098133560445,0.2545004145494355,0.10092315595528283,0.3270720592178828,-0.45718125904594875,0.264599104376334,-0.02716518045876878,0.7478999296867082,0.10166379577240525,-0.011013620546875626,-0.31610816283696,0.28599963676887413,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_1,T8,0.12821310506593198,-0.5614854281889388,-0.9056995919137236,0.4749549917498819,-2.80168394761852,-0.7210365041353799,-0.5799411223626056,-0.015414389588437905,-0.23998910378442223,0.530736606774956,-0.08029384715856543,0.40059612780743287,-0.4468806661732785,0.20286606118281103,-0.015017415457693714,0.7564107806137866,0.08821685646115411,-0.1231625581315111,-0.2800683399001297,0.2235015974783865,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_1,AF4,-0.11258965400876975,-0.38545171970571634,-1.0232307457791334,0.6605534910770887,-2.6726254742291897,-0.38568844975575595,-0.45975192482183935,-0.18090017527802768,-0.44083338485753515,-0.139904041804872,0.3774591213232404,0.21927935025906706,-0.4873241398841231,0.328179018448112,-0.009371067441499919,0.744885392235415,0.10944661832352931,0.004788207815211512,-0.40350147139798465,0.26901686129859054,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_2,AF3,0.37573380988553196,-0.871922403497758,-1.2952274493033777,0.6526306885490404,-1.9118753381741034,-0.564170111875272,-0.3835554060655567,-0.5151885477982849,-0.0968435464412109,-0.22365868979869533,0.5085211776264029,0.2558627201645303,0.011684279697307901,0.24730195417284842,0.05334380702350998,-0.05043527460053164,-0.2803023478620399,-0.15728734745726017,-0.012955172451421828,0.19240687593619124,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_2,T7,-2.3155794364413342,0.4902248308648546,-2.8250733938731467,2.413459614077425,0.642026071801236,2.338542898631159,-0.3622911023712121,0.5796781612898958,-0.4283549742447047,0.24048929431655475,0.26327132417903854,0.35027431504384793,0.04081505928644487,0.07407913508735767,0.21368287901773073,-0.16376534549472987,-0.2551393737911651,-0.08960719373000862,-0.004159971485309719,0.11956690689994956,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_2,Pz,0.6248546902428674,-1.0265348029910542,-1.1615542455439685,0.48466606618200514,-2.0904309089291124,-0.8569476892712347,-0.4530878668243414,-0.47421800961249283,0.033067203365358844,0.12343276476223834,0.28033087129277856,0.328043730074263,0.02082818843440926,0.20334256390457453,0.052401923862865504,-0.05977636343320505,-0.2181117304585578,0.13175633524192823,-0.027253875313694245,0.18666047493019236,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_2,T8,0.49991758079702686,-0.9653691820684579,-1.2347973911050876,0.5662267957880811,-1.9683746845884433,-0.72392404327094,-0.4532108954279658,-0.41561087499334365,0.016762737584264494,0.16247270355984209,0.25658143575839953,0.34093529854506605,0.02138952284547219,0.18695320706937626,0.06025672193886837,-0.05503097939744832,-0.2312055043319805,0.04241776716098884,-0.014477785353991437,0.1510705317132224,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_2,AF4,0.42528815019338684,-0.9091702200824061,-1.2707753077103472,0.6176656282303239,-1.9337962454890738,-0.6274848314010112,-0.4104387378325161,-0.4762899814822651,-0.04965204408658362,-0.06953208273165365,0.40756243886061344,0.28991535101983346,0.015545733036827606,0.22491034315113514,0.05453722859284653,-0.0520008684207164,-0.2624123853766099,-0.07606560391073387,-0.019373147719129204,0.19062862916179676,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_3,AF3,0.8430674044656877,-1.7037833497053065,-1.5352703591736976,1.0721685335324624,-2.848800417925959,-0.5485674965794332,-0.42917801113493587,0.5139929707703008,-0.09263717800931837,-0.1739163277162572,0.16634452520500692,0.25927322386757506,-0.060106041854692774,-0.2600100005850288,0.24003796147550877,-0.17745991355269328,-0.33272174972678015,0.09335600090750332,0.027690775817876465,0.06561998900073764,1.0000000000000002e-06,2.117582368135752e-22
3_(11),Trier Mental Challenge Test (TMCT),Segment_3,T7,-2.084636271530692,-0.19040878009523768,-3.190196082286136,2.9939313700394172,-0.13289704527728158,2.638714469158085,-0.33010049846462325,1.5465680335286678,-0.560359943724563,-0.09979365601703681,0.1775492576048478,0.2703750338388605,-0.043445062923817036,-0.37829941597986666,0.39806287756513503,-0.27932628302144125,-0.3716500628191068,-0.1251217616552311,0.03434748681202551,0.01821320922848337,1.0000000000000002e-06,2.117582368135752e-22
